region,category,fc,units
R1_London,essentials,FC_A_Midlands,0.0
R1_London,essentials,FC_B_SouthEast,1385.6
R1_London,essentials,FC_C_North,0.0
R1_London,gifting,FC_A_Midlands,0.0
R1_London,gifting,FC_B_SouthEast,1145.0
R1_London,gifting,FC_C_North,0.0
R1_London,outdoor,FC_A_Midlands,0.0
R1_London,outdoor,FC_B_SouthEast,400.4
R1_London,outdoor,FC_C_North,0.0
R2_SouthEast,essentials,FC_A_Midlands,0.0
R2_SouthEast,essentials,FC_B_SouthEast,841.4
R2_SouthEast,essentials,FC_C_North,0.0
R2_SouthEast,gifting,FC_A_Midlands,0.0
R2_SouthEast,gifting,FC_B_SouthEast,669.4
R2_SouthEast,gifting,FC_C_North,0.0
R2_SouthEast,outdoor,FC_A_Midlands,0.0
R2_SouthEast,outdoor,FC_B_SouthEast,256.8
R2_SouthEast,outdoor,FC_C_North,0.0
R3_Midlands,essentials,FC_A_Midlands,739.2
R3_Midlands,essentials,FC_B_SouthEast,0.0
R3_Midlands,essentials,FC_C_North,0.0
R3_Midlands,gifting,FC_A_Midlands,602.8
R3_Midlands,gifting,FC_B_SouthEast,0.0
R3_Midlands,gifting,FC_C_North,0.0
R3_Midlands,outdoor,FC_A_Midlands,226.0
R3_Midlands,outdoor,FC_B_SouthEast,0.0
R3_Midlands,outdoor,FC_C_North,0.0
R4_NorthWest,essentials,FC_A_Midlands,0.0
R4_NorthWest,essentials,FC_B_SouthEast,0.0
R4_NorthWest,essentials,FC_C_North,686.0
R4_NorthWest,gifting,FC_A_Midlands,0.0
R4_NorthWest,gifting,FC_B_SouthEast,0.0
R4_NorthWest,gifting,FC_C_North,559.6
R4_NorthWest,outdoor,FC_A_Midlands,0.0
R4_NorthWest,outdoor,FC_B_SouthEast,0.0
R4_NorthWest,outdoor,FC_C_North,212.8
R5_NorthEast,essentials,FC_A_Midlands,0.0
R5_NorthEast,essentials,FC_B_SouthEast,0.0
R5_NorthEast,essentials,FC_C_North,507.2
R5_NorthEast,gifting,FC_A_Midlands,0.0
R5_NorthEast,gifting,FC_B_SouthEast,0.0
R5_NorthEast,gifting,FC_C_North,430.4
R5_NorthEast,outdoor,FC_A_Midlands,0.0
R5_NorthEast,outdoor,FC_B_SouthEast,0.0
R5_NorthEast,outdoor,FC_C_North,159.4
R6_SouthWest,essentials,FC_A_Midlands,466.4
R6_SouthWest,essentials,FC_B_SouthEast,0.0
R6_SouthWest,essentials,FC_C_North,0.0
R6_SouthWest,gifting,FC_A_Midlands,394.8
R6_SouthWest,gifting,FC_B_SouthEast,0.0
R6_SouthWest,gifting,FC_C_North,0.0
R6_SouthWest,outdoor,FC_A_Midlands,136.4
R6_SouthWest,outdoor,FC_B_SouthEast,0.0
R6_SouthWest,outdoor,FC_C_North,0.0
