customer_state,product_group,hub,units
BA,beauty_health,HUB_SaoPaulo,0.0
BA,beauty_health,HUB_South,0.0
BA,beauty_health,HUB_MG_RJ,11.942209
BA,home,HUB_SaoPaulo,0.0
BA,home,HUB_South,0.0
BA,home,HUB_MG_RJ,15.149033
BA,other,HUB_SaoPaulo,0.0
BA,other,HUB_South,0.0
BA,other,HUB_MG_RJ,20.292798
BA,tech,HUB_SaoPaulo,0.0
BA,tech,HUB_South,0.0
BA,tech,HUB_MG_RJ,12.093447
DF,beauty_health,HUB_SaoPaulo,0.0
DF,beauty_health,HUB_South,0.0
DF,beauty_health,HUB_MG_RJ,7.9403183
DF,home,HUB_SaoPaulo,0.0
DF,home,HUB_South,0.0
DF,home,HUB_MG_RJ,12.145188
DF,other,HUB_SaoPaulo,0.0
DF,other,HUB_South,0.0
DF,other,HUB_MG_RJ,13.538365
DF,tech,HUB_SaoPaulo,0.0
DF,tech,HUB_South,0.0
DF,tech,HUB_MG_RJ,9.6005089
MG,beauty_health,HUB_SaoPaulo,0.0
MG,beauty_health,HUB_South,0.0
MG,beauty_health,HUB_MG_RJ,31.820419
MG,home,HUB_SaoPaulo,0.0
MG,home,HUB_South,0.0
MG,home,HUB_MG_RJ,53.814947
MG,other,HUB_SaoPaulo,0.0
MG,other,HUB_South,0.0
MG,other,HUB_MG_RJ,59.401876
MG,tech,HUB_SaoPaulo,0.0
MG,tech,HUB_South,0.0
MG,tech,HUB_MG_RJ,37.094754
PR,beauty_health,HUB_SaoPaulo,0.0
PR,beauty_health,HUB_South,14.235459
PR,beauty_health,HUB_MG_RJ,0.0
PR,home,HUB_SaoPaulo,0.0
PR,home,HUB_South,29.249378
PR,home,HUB_MG_RJ,0.0
PR,other,HUB_SaoPaulo,0.0
PR,other,HUB_South,28.703753
PR,other,HUB_MG_RJ,0.0
PR,tech,HUB_SaoPaulo,0.0
PR,tech,HUB_South,19.884295
PR,tech,HUB_MG_RJ,0.0
RJ,beauty_health,HUB_SaoPaulo,0.0
RJ,beauty_health,HUB_South,0.0
RJ,beauty_health,HUB_MG_RJ,27.808304
RJ,home,HUB_SaoPaulo,0.0
RJ,home,HUB_South,0.0
RJ,home,HUB_MG_RJ,64.594181
RJ,other,HUB_SaoPaulo,0.0
RJ,other,HUB_South,0.0
RJ,other,HUB_MG_RJ,57.061772
RJ,tech,HUB_SaoPaulo,0.0
RJ,tech,HUB_South,0.0
RJ,tech,HUB_MG_RJ,37.716494
RS,beauty_health,HUB_SaoPaulo,0.0
RS,beauty_health,HUB_South,13.397416
RS,beauty_health,HUB_MG_RJ,0.0
RS,home,HUB_SaoPaulo,0.0
RS,home,HUB_South,33.74217
RS,home,HUB_MG_RJ,0.0
RS,other,HUB_SaoPaulo,0.0
RS,other,HUB_South,24.12769
RS,other,HUB_MG_RJ,0.0
RS,tech,HUB_SaoPaulo,0.0
RS,tech,HUB_South,20.026368
RS,tech,HUB_MG_RJ,0.0
SC,beauty_health,HUB_SaoPaulo,0.0
SC,beauty_health,HUB_South,8.1986464
SC,beauty_health,HUB_MG_RJ,0.0
SC,home,HUB_SaoPaulo,0.0
SC,home,HUB_South,18.873959
SC,home,HUB_MG_RJ,0.0
SC,other,HUB_SaoPaulo,0.0
SC,other,HUB_South,21.117771
SC,other,HUB_MG_RJ,0.0
SC,tech,HUB_SaoPaulo,0.0
SC,tech,HUB_South,12.933579
SC,tech,HUB_MG_RJ,0.0
SP,beauty_health,HUB_SaoPaulo,121.22852
SP,beauty_health,HUB_South,0.0
SP,beauty_health,HUB_MG_RJ,0.0
SP,home,HUB_SaoPaulo,231.88305
SP,home,HUB_South,0.0
SP,home,HUB_MG_RJ,0.0
SP,other,HUB_SaoPaulo,236.37559
SP,other,HUB_South,0.0
SP,other,HUB_MG_RJ,0.0
SP,tech,HUB_SaoPaulo,125.33253
SP,tech,HUB_South,0.0
SP,tech,HUB_MG_RJ,0.0
