week,customer_state,hub,product_group,price,freight_value
2017-09-11,RJ,HUB_SaoPaulo,other,58.9,13.29
2017-04-24,SP,HUB_SaoPaulo,other,239.9,19.93
2018-01-08,MG,HUB_MG_RJ,home,199.0,17.87
2018-08-06,SP,HUB_SaoPaulo,beauty_health,12.99,12.79
2017-01-30,SP,HUB_South,home,199.9,18.14
2017-05-15,MG,HUB_SaoPaulo,home,21.9,12.69
2017-12-04,SP,HUB_SaoPaulo,tech,19.9,11.85
2018-07-02,SP,HUB_SaoPaulo,home,810.0,70.75
2018-03-19,SP,HUB_SaoPaulo,beauty_health,145.95,11.65
2018-07-02,SP,HUB_SaoPaulo,other,53.99,11.4
2018-03-19,SP,HUB_SaoPaulo,beauty_health,59.99,8.88
2018-07-23,SP,HUB_SaoPaulo,other,45.0,12.98
2018-07-23,RJ,HUB_SaoPaulo,home,74.0,23.32
2018-02-12,SP,HUB_SaoPaulo,home,49.9,13.37
2018-02-12,SP,HUB_SaoPaulo,home,49.9,13.37
2018-08-13,MG,HUB_South,other,99.9,27.65
2018-04-23,SP,HUB_SaoPaulo,tech,639.0,11.34
2018-05-07,SP,HUB_SaoPaulo,beauty_health,144.0,8.77
2017-08-07,SP,HUB_SaoPaulo,other,99.0,13.71
2018-02-19,SP,HUB_South,other,25.0,16.11
2018-03-19,SP,HUB_SaoPaulo,home,47.9,8.88
2017-11-20,SP,HUB_SaoPaulo,tech,21.99,11.85
2018-03-05,RJ,HUB_SaoPaulo,other,119.99,44.4
2018-02-26,PR,HUB_SaoPaulo,other,49.0,15.1
2017-09-11,RJ,HUB_SaoPaulo,other,48.9,16.6
2017-07-31,RJ,HUB_South,other,219.9,16.98
2018-01-15,SP,HUB_SaoPaulo,other,289.0,26.33
2018-06-11,SP,HUB_SaoPaulo,other,27.9,7.94
2017-12-04,SP,HUB_MG_RJ,home,119.9,17.32
2017-11-20,RJ,HUB_South,other,397.0,24.65
2018-04-02,MG,HUB_South,home,59.9,23.35
2017-05-22,PR,HUB_SaoPaulo,tech,16.5,14.1
2018-01-08,PR,HUB_SaoPaulo,tech,21.9,15.1
