week,customer_state,product_group,demand
2017-01-02,SP,home,2
2017-01-02,SP,beauty_health,0
2017-01-02,SP,tech,1
2017-01-02,SP,other,1
2017-01-02,RJ,home,1
2017-01-02,RJ,beauty_health,0
2017-01-02,RJ,tech,2
2017-01-02,RJ,other,0
2017-01-02,MG,home,0
2017-01-02,MG,beauty_health,1
2017-01-02,MG,tech,1
2017-01-02,MG,other,1
2017-01-02,RS,home,0
2017-01-02,RS,beauty_health,0
2017-01-02,RS,tech,0
2017-01-02,RS,other,0
2017-01-02,PR,home,7
2017-01-02,PR,beauty_health,2
2017-01-02,PR,tech,0
2017-01-02,PR,other,22
2017-01-02,SC,home,1
2017-01-02,SC,beauty_health,0
2017-01-02,SC,tech,0
2017-01-02,SC,other,0
2017-01-02,BA,home,1
2017-01-02,BA,beauty_health,0
2017-01-02,BA,tech,0
2017-01-02,BA,other,0
2017-01-02,DF,home,0
2017-01-02,DF,beauty_health,0
2017-01-02,DF,tech,0
2017-01-02,DF,other,0
2017-01-09,SP,home,14
2017-01-09,SP,beauty_health,2
2017-01-09,SP,tech,3
2017-01-09,SP,other,2
2017-01-09,RJ,home,6
2017-01-09,RJ,beauty_health,1
2017-01-09,RJ,tech,2
2017-01-09,RJ,other,1
2017-01-09,MG,home,7
2017-01-09,MG,beauty_health,1
2017-01-09,MG,tech,4
2017-01-09,MG,other,2
2017-01-09,RS,home,6
2017-01-09,RS,beauty_health,0
2017-01-09,RS,tech,1
2017-01-09,RS,other,0
2017-01-09,PR,home,1
2017-01-09,PR,beauty_health,0
2017-01-09,PR,tech,1
2017-01-09,PR,other,1
2017-01-09,SC,home,1
2017-01-09,SC,beauty_health,0
2017-01-09,SC,tech,0
2017-01-09,SC,other,4
2017-01-09,BA,home,0
2017-01-09,BA,beauty_health,1
2017-01-09,BA,tech,0
2017-01-09,BA,other,0
2017-01-09,DF,home,1
2017-01-09,DF,beauty_health,0
2017-01-09,DF,tech,0
2017-01-09,DF,other,4
2017-01-16,SP,home,49
2017-01-16,SP,beauty_health,10
2017-01-16,SP,tech,16
2017-01-16,SP,other,28
2017-01-16,RJ,home,13
2017-01-16,RJ,beauty_health,4
2017-01-16,RJ,tech,3
2017-01-16,RJ,other,8
2017-01-16,MG,home,11
2017-01-16,MG,beauty_health,9
2017-01-16,MG,tech,6
2017-01-16,MG,other,15
2017-01-16,RS,home,4
2017-01-16,RS,beauty_health,2
2017-01-16,RS,tech,2
2017-01-16,RS,other,4
2017-01-16,PR,home,1
2017-01-16,PR,beauty_health,0
2017-01-16,PR,tech,1
2017-01-16,PR,other,3
2017-01-16,SC,home,3
2017-01-16,SC,beauty_health,1
2017-01-16,SC,tech,0
2017-01-16,SC,other,3
2017-01-16,BA,home,0
2017-01-16,BA,beauty_health,0
2017-01-16,BA,tech,0
2017-01-16,BA,other,3
2017-01-16,DF,home,0
2017-01-16,DF,beauty_health,1
2017-01-16,DF,tech,1
2017-01-16,DF,other,2
2017-01-23,SP,home,53
2017-01-23,SP,beauty_health,32
2017-01-23,SP,tech,22
2017-01-23,SP,other,57
2017-01-23,RJ,home,15
2017-01-23,RJ,beauty_health,5
2017-01-23,RJ,tech,4
2017-01-23,RJ,other,16
2017-01-23,MG,home,12
2017-01-23,MG,beauty_health,10
2017-01-23,MG,tech,3
2017-01-23,MG,other,19
2017-01-23,RS,home,11
2017-01-23,RS,beauty_health,11
2017-01-23,RS,tech,5
2017-01-23,RS,other,11
2017-01-23,PR,home,5
2017-01-23,PR,beauty_health,6
2017-01-23,PR,tech,2
2017-01-23,PR,other,3
2017-01-23,SC,home,5
2017-01-23,SC,beauty_health,6
2017-01-23,SC,tech,1
2017-01-23,SC,other,2
2017-01-23,BA,home,9
2017-01-23,BA,beauty_health,5
2017-01-23,BA,tech,1
2017-01-23,BA,other,6
2017-01-23,DF,home,2
2017-01-23,DF,beauty_health,1
2017-01-23,DF,tech,0
2017-01-23,DF,other,3
2017-01-30,SP,home,53
2017-01-30,SP,beauty_health,27
2017-01-30,SP,tech,20
2017-01-30,SP,other,61
2017-01-30,RJ,home,30
2017-01-30,RJ,beauty_health,17
2017-01-30,RJ,tech,9
2017-01-30,RJ,other,26
2017-01-30,MG,home,18
2017-01-30,MG,beauty_health,15
2017-01-30,MG,tech,12
2017-01-30,MG,other,20
2017-01-30,RS,home,8
2017-01-30,RS,beauty_health,5
2017-01-30,RS,tech,5
2017-01-30,RS,other,8
2017-01-30,PR,home,13
2017-01-30,PR,beauty_health,7
2017-01-30,PR,tech,6
