week,region,category,demand
1,R1_London,essentials,1414
1,R2_SouthEast,essentials,865
1,R3_Midlands,essentials,695
1,R4_NorthWest,essentials,712
1,R5_NorthEast,essentials,477
1,R6_SouthWest,essentials,453
1,R1_London,outdoor,343
1,R2_SouthEast,outdoor,199
1,R3_Midlands,outdoor,181
1,R4_NorthWest,outdoor,182
1,R5_NorthEast,outdoor,132
1,R6_SouthWest,outdoor,121
1,R1_London,gifting,1063
1,R2_SouthEast,gifting,610
1,R3_Midlands,gifting,556
1,R4_NorthWest,gifting,531
1,R5_NorthEast,gifting,365
1,R6_SouthWest,gifting,339
2,R1_London,essentials,1379
2,R2_SouthEast,essentials,848
2,R3_Midlands,essentials,769
2,R4_NorthWest,essentials,684
2,R5_NorthEast,essentials,520
2,R6_SouthWest,essentials,441
2,R1_London,outdoor,343
2,R2_SouthEast,outdoor,205
2,R3_Midlands,outdoor,173
2,R4_NorthWest,outdoor,148
2,R5_NorthEast,outdoor,125
2,R6_SouthWest,outdoor,111
2,R1_London,gifting,1063
2,R2_SouthEast,gifting,634
2,R3_Midlands,gifting,539
2,R4_NorthWest,gifting,553
2,R5_NorthEast,gifting,345
2,R6_SouthWest,gifting,338
3,R1_London,essentials,1393
3,R2_SouthEast,essentials,846
3,R3_Midlands,essentials,767
3,R4_NorthWest,essentials,711
3,R5_NorthEast,essentials,483
3,R6_SouthWest,essentials,437
3,R1_London,outdoor,322
3,R2_SouthEast,outdoor,186
3,R3_Midlands,outdoor,168
3,R4_NorthWest,outdoor,145
3,R5_NorthEast,outdoor,136
3,R6_SouthWest,outdoor,117
3,R1_London,gifting,1023
3,R2_SouthEast,gifting,578
3,R3_Midlands,gifting,545
3,R4_NorthWest,gifting,501
3,R5_NorthEast,gifting,356
3,R6_SouthWest,gifting,357
4,R1_London,essentials,1379
4,R2_SouthEast,essentials,839
4,R3_Midlands,essentials,694
4,R4_NorthWest,essentials,627
4,R5_NorthEast,essentials,497
4,R6_SouthWest,essentials,430
4,R1_London,outdoor,332
4,R2_SouthEast,outdoor,200
4,R3_Midlands,outdoor,208
4,R4_NorthWest,outdoor,175
4,R5_NorthEast,outdoor,120
4,R6_SouthWest,outdoor,130
4,R1_London,gifting,997
4,R2_SouthEast,gifting,587
4,R3_Midlands,gifting,529
4,R4_NorthWest,gifting,472
4,R5_NorthEast,gifting,339
4,R6_SouthWest,gifting,321
5,R1_London,essentials,1410
5,R2_SouthEast,essentials,789
5,R3_Midlands,essentials,716
5,R4_NorthWest,essentials,696
5,R5_NorthEast,essentials,532
5,R6_SouthWest,essentials,450
5,R1_London,outdoor,325
5,R2_SouthEast,outdoor,186
5,R3_Midlands,outdoor,199
5,R4_NorthWest,outdoor,187
5,R5_NorthEast,outdoor,124
5,R6_SouthWest,outdoor,121
5,R1_London,gifting,954
5,R2_SouthEast,gifting,597
5,R3_Midlands,gifting,559
5,R4_NorthWest,gifting,453
5,R5_NorthEast,gifting,332
5,R6_SouthWest,gifting,327
6,R1_London,essentials,1344
6,R2_SouthEast,essentials,828
6,R3_Midlands,essentials,701
6,R4_NorthWest,essentials,655
6,R5_NorthEast,essentials,519
6,R6_SouthWest,essentials,440
6,R1_London,outdoor,363
6,R2_SouthEast,outdoor,192
6,R3_Midlands,outdoor,212
6,R4_NorthWest,outdoor,168
6,R5_NorthEast,outdoor,133
6,R6_SouthWest,outdoor,104
6,R1_London,gifting,983
6,R2_SouthEast,gifting,553
6,R3_Midlands,gifting,517
6,R4_NorthWest,gifting,445
6,R5_NorthEast,gifting,345
6,R6_SouthWest,gifting,314
7,R1_London,essentials,1361
7,R2_SouthEast,essentials,837
7,R3_Midlands,essentials,730
